tap_number,date_time,beer,brewer,style,keg_cost,glass_price
6,Fri Jun 01 2012 17:41:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
2,Fri Jun 01 2012 18:37:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Fri Jun 01 2012 20:49:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
4,Fri Jun 01 2012 20:58:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
2,Sat Jun 02 2012 19:02:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Sat Jun 02 2012 20:53:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
3,Sat Jun 02 2012 22:56:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Mon Jun 04 2012 17:12:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
2,Tue Jun 05 2012 20:16:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
4,Tue Jun 05 2012 21:23:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Tue Jun 05 2012 21:34:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
4,Thu Jun 07 2012 12:11:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Thu Jun 07 2012 14:52:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
2,Thu Jun 07 2012 19:34:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
6,Thu Jun 07 2012 20:39:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
2,Thu Jun 07 2012 22:47:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
4,Thu Jun 07 2012 22:48:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
1,Fri Jun 08 2012 00:05:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Fri Jun 08 2012 17:41:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
